Type de ticket,Priorité,Nombre de Champs personnalisés (Participants),Annee,Jour,Mois,Nombre de Composants,Nombre de Versions corrigées,Nb_heures,Type de Version
Tâche,1,1,2020,2,1,1,0,5,Majeur
Bug,3,2,2020,4,1,1,0,53,Majeur
Tâche,1,2,2020,3,1,1,0,57,Majeur
Tâche,1,2,2020,1,1,1,0,84,Majeur
Tâche,1,2,2019,0,8,1,0,27,Majeur
Bug,2,1,2019,5,8,1,0,5,Majeur
Bug,2,2,2019,5,8,1,0,20,Majeur
Tâche,1,2,2019,0,7,1,0,96,Majeur
Bug,3,2,2019,6,6,0,0,56,Majeur
Bug,4,3,2019,3,6,1,0,21,Majeur
Tâche,1,2,2019,2,6,1,0,49,Majeur
Tâche,1,1,2019,4,6,1,0,28,Majeur
Tâche,1,2,2019,4,5,1,0,81,Majeur
Tâche,1,2,2019,6,5,1,0,27,Majeur
Tâche,1,2,2019,3,5,1,0,95,Majeur
Tâche,1,1,2019,5,5,1,0,2,Majeur
Tâche,1,1,2019,4,4,1,0,29,Majeur
Tâche,1,1,2019,3,4,1,0,9,Majeur
Tâche,1,1,2019,3,4,1,0,25,Majeur
Tâche,1,2,2019,1,3,1,0,107,Majeur
Bug,3,2,2019,4,3,1,0,57,Majeur
Tâche,1,2,2019,5,2,1,0,79,Majeur
Tâche,1,2,2019,2,2,1,0,29,Majeur
Tâche,1,1,2019,1,1,1,0,7,Majeur
Tâche,1,1,2019,4,1,1,0,22,Majeur
Tâche,1,2,2019,0,1,1,0,23,Majeur
Bug,3,1,2019,6,1,3,0,84,Majeur
Tâche,1,2,2019,3,1,1,0,84,Majeur
Tâche,1,2,2018,4,12,1,0,3,Majeur
Tâche,1,1,2018,1,12,1,0,3,Majeur
Tâche,1,2,2018,0,11,1,0,48,Majeur
Tâche,1,1,2018,2,11,1,0,9,Majeur
Tâche,1,1,2018,4,11,1,0,10,Majeur
Tâche,1,2,2018,4,11,1,0,63,Majeur
Tâche,1,1,2018,1,11,1,0,8,Majeur
Tâche,1,1,2018,6,11,1,0,12,Majeur
Tâche,1,1,2018,5,11,1,0,19,Majeur
Tâche,1,2,2018,1,10,1,0,35,Majeur
Tâche,1,2,2018,2,10,1,0,38,Majeur
Tâche,1,2,2018,1,10,1,0,69,Majeur
Tâche,1,1,2018,6,10,1,0,7,Majeur
Tâche,1,1,2018,0,10,1,0,28,Majeur
Tâche,1,1,2018,4,10,1,0,27,Majeur
Tâche,1,1,2018,5,9,1,0,27,Majeur
Amélioration,2,1,2018,3,9,1,0,9,Majeur
Tâche,1,2,2018,4,9,1,0,49,Majeur
Tâche,1,2,2018,1,9,1,0,30,Majeur
Tâche,1,1,2018,0,9,1,0,18,Majeur
Tâche,1,2,2018,0,7,1,0,20,Majeur
Sous-tâche,3,2,2018,0,7,0,0,55,Majeur
Sous-tâche,3,2,2018,0,7,0,0,58,Majeur
Sous-tâche,3,2,2018,0,7,0,0,57,Majeur
Amélioration,3,2,2018,0,7,1,0,52,Majeur
Tâche,1,2,2018,0,6,1,0,90,Majeur
Tâche,1,2,2018,1,6,1,0,40,Majeur
Tâche,1,1,2018,6,6,1,0,9,Majeur
Tâche,1,1,2018,4,5,1,0,19,Majeur
Tâche,1,2,2018,2,4,1,0,48,Majeur
Amélioration,3,2,2018,1,3,1,0,52,Majeur
Tâche,1,2,2018,1,3,1,0,104,Majeur
Tâche,1,2,2018,0,1,1,0,101,Majeur
Tâche,1,2,2018,4,1,1,0,101,Majeur
Tâche,1,2,2018,3,1,1,0,79,Majeur
Tâche,1,1,2018,0,1,1,0,16,Majeur
Bug,3,2,2017,4,12,1,0,54,Majeur
Tâche,1,1,2017,1,12,1,0,21,Majeur
Tâche,1,2,2017,0,12,1,0,43,Majeur
Tâche,1,2,2017,6,12,1,0,110,Majeur
Tâche,1,1,2017,1,11,1,0,25,Majeur
Tâche,1,1,2017,3,11,1,0,4,Majeur
Bug,3,2,2017,2,10,0,0,51,Majeur
Tâche,1,1,2017,1,10,1,0,8,Majeur
Tâche,1,1,2017,0,10,1,0,10,Majeur
Tâche,3,2,2017,4,9,1,0,52,Majeur
Tâche,1,1,2017,3,7,1,0,18,Majeur
Tâche,1,2,2017,2,7,1,0,14,Majeur
Tâche,1,2,2017,1,6,1,0,39,Majeur
Tâche,1,1,2017,0,6,1,0,8,Majeur
Bug,3,2,2017,1,5,1,0,53,Majeur
Tâche,1,1,2017,0,4,1,0,17,Majeur
Tâche,1,1,2017,3,4,1,0,27,Majeur
Bug,2,2,2017,1,4,1,0,92,Majeur
Amélioration,3,2,2017,3,4,1,0,52,Majeur
Amélioration,3,2,2017,2,4,1,0,56,Majeur
Tâche,1,1,2017,3,3,1,0,8,Majeur
Tâche,1,1,2017,5,3,1,0,6,Majeur
Tâche,1,1,2017,1,2,1,0,26,Majeur
Tâche,1,2,2017,0,2,1,0,47,Majeur
Amélioration,3,2,2017,2,2,1,0,57,Majeur
Bug,3,2,2017,3,1,0,0,57,Majeur
Bug,3,2,2017,3,1,1,0,57,Majeur
Tâche,1,1,2016,3,12,1,0,3,Majeur
Amélioration,3,2,2016,3,12,1,0,56,Majeur
Tâche,1,1,2016,3,11,1,0,29,Majeur
Tâche,1,1,2016,3,11,1,0,24,Majeur
Tâche,1,2,2016,3,11,1,0,107,Majeur
Tâche,1,1,2016,4,11,1,0,13,Majeur
Bug,3,2,2016,0,11,0,0,52,Majeur
Bug,3,2,2016,0,11,0,0,53,Majeur
Tâche,1,1,2016,1,11,1,0,8,Majeur
Tâche,1,2,2016,4,10,1,0,113,Majeur
Amélioration,3,2,2016,3,10,1,0,54,Majeur
Amélioration,3,2,2016,2,10,0,0,52,Majeur
Amélioration,3,2,2016,2,10,0,0,52,Majeur
Amélioration,3,2,2016,1,10,1,0,59,Majeur
Amélioration,3,2,2016,1,10,0,0,59,Majeur
Amélioration,3,2,2016,1,10,0,0,56,Majeur
Amélioration,2,2,2016,1,9,0,0,117,Majeur
Bug,2,2,2016,1,8,1,0,48,Majeur
Tâche,1,1,2016,3,8,1,0,14,Majeur
Amélioration,3,2,2016,2,8,0,0,54,Majeur
Amélioration,2,2,2016,1,7,1,0,113,Majeur
Bug,2,2,2016,0,7,1,0,72,Majeur
Amélioration,3,2,2016,3,6,1,0,50,Majeur
Amélioration,3,2,2016,3,6,1,0,52,Majeur
Amélioration,3,2,2016,3,6,1,0,58,Majeur
Tâche,3,2,2016,1,6,1,0,57,Majeur
Tâche,1,1,2016,3,6,1,0,29,Majeur
Tâche,3,2,2016,1,6,1,0,51,Majeur
Tâche,1,2,2016,3,6,1,0,44,Majeur
Tâche,3,2,2016,3,5,1,0,56,Majeur
Tâche,3,2,2016,1,5,1,0,52,Majeur
Tâche,1,2,2016,2,4,1,0,60,Majeur
Tâche,1,2,2016,2,4,1,0,14,Majeur
Tâche,1,2,2016,1,4,1,0,46,Majeur
Amélioration,3,2,2016,0,4,1,0,55,Majeur
Tâche,3,2,2016,3,4,1,0,59,Majeur
Amélioration,3,2,2016,1,4,1,0,54,Majeur
Tâche,3,2,2016,1,4,1,0,56,Majeur
Tâche,3,2,2016,1,4,1,0,58,Majeur
Tâche,1,1,2016,4,4,1,0,19,Majeur
Tâche,3,2,2016,2,4,0,0,50,Majeur
Tâche,1,2,2016,2,4,1,0,65,Majeur
Nouvelle fonctionnalité,3,2,2016,0,4,1,0,59,Majeur
Tâche,1,1,2016,3,3,1,0,9,Majeur
Tâche,1,2,2016,0,3,1,0,43,Majeur
Tâche,1,2,2016,3,3,1,0,90,Majeur
Tâche,1,1,2016,1,3,1,0,16,Majeur
Tâche,1,1,2016,0,3,1,0,9,Majeur
Tâche,1,2,2016,3,3,1,0,69,Majeur
Tâche,3,2,2016,2,2,0,0,50,Majeur
Tâche,3,2,2016,1,2,0,0,57,Majeur
Bug,1,2,2016,0,2,1,0,73,Majeur
Bug,5,3,2016,4,2,0,0,31,Majeur
Tâche,1,1,2016,2,2,1,0,22,Majeur
Amélioration,2,1,2016,0,1,1,0,18,Majeur
Bug,3,2,2016,0,1,1,0,59,Majeur
Bug,3,2,2016,0,1,1,0,57,Majeur
Amélioration,3,2,2016,0,1,1,0,51,Majeur
Amélioration,3,2,2016,0,1,1,0,52,Majeur
Tâche,1,2,2016,3,1,1,0,30,Majeur
Tâche,3,2,2016,3,1,1,0,52,Majeur
Tâche,3,2,2016,0,1,0,0,56,Majeur
Tâche,1,1,2016,4,1,1,0,23,Majeur
Bug,3,2,2016,2,1,0,0,52,Majeur
Bug,3,2,2016,1,1,0,0,57,Majeur
Amélioration,3,2,2015,0,12,1,0,53,Majeur
Amélioration,3,2,2015,0,12,1,0,52,Majeur
Deprecation,3,2,2015,3,12,0,0,57,Majeur
Bug,3,2,2015,3,12,1,0,51,Majeur
Tâche,3,2,2015,3,12,1,0,50,Majeur
Tâche,3,2,2015,3,12,1,0,58,Majeur
Tâche,3,2,2015,3,12,1,0,50,Majeur
Tâche,3,2,2015,3,12,1,0,58,Majeur
Tâche,3,2,2015,3,12,1,0,56,Majeur
Tâche,3,2,2015,3,12,1,0,56,Majeur
Amélioration,3,2,2015,1,12,1,0,51,Majeur
Tâche,1,1,2015,6,11,1,0,8,Majeur
Tâche,1,1,2015,6,11,1,0,11,Majeur
Tâche,1,2,2015,2,11,1,0,39,Majeur
Tâche,1,1,2015,2,11,1,0,6,Majeur
Tâche,1,1,2015,6,10,1,0,21,Majeur
Tâche,1,1,2015,0,10,1,0,6,Majeur
Tâche,1,2,2015,0,10,1,0,38,Majeur
Tâche,1,2,2015,6,10,1,0,88,Majeur
Tâche,1,2,2015,2,10,1,0,39,Majeur
Tâche,1,1,2015,2,9,1,0,6,Majeur
Tâche,1,2,2015,3,9,1,0,22,Majeur
Tâche,1,1,2015,1,9,1,0,6,Majeur
Amélioration,2,2,2015,1,8,0,0,104,Majeur
Tâche,1,2,2015,1,8,1,0,70,Majeur
Bug,3,2,2015,4,8,1,0,53,Majeur
Bug,3,2,2015,3,8,1,0,58,Majeur
Amélioration,3,2,2015,3,8,0,0,56,Majeur
Tâche,1,1,2015,4,8,1,0,17,Majeur
Bug,3,2,2015,2,8,1,0,50,Majeur
Bug,3,2,2015,2,8,1,0,57,Majeur
Bug,3,2,2015,0,8,1,0,57,Majeur
Bug,3,2,2015,0,8,1,0,54,Majeur
Amélioration,3,2,2015,4,7,0,0,59,Majeur
Bug,3,2,2015,3,7,1,0,52,Majeur
Nouvelle fonctionnalité,3,2,2015,6,7,1,0,55,Majeur
Amélioration,3,2,2015,5,7,1,0,55,Majeur
Tâche,1,1,2015,3,7,1,0,4,Majeur
Amélioration,1,2,2015,2,7,1,0,92,Majeur
Amélioration,1,1,2015,2,7,2,0,7,Majeur
Amélioration,1,1,2015,2,7,1,0,24,Majeur
Amélioration,1,1,2015,2,7,1,0,10,Majeur
Amélioration,2,1,2015,0,7,0,0,20,Majeur
Amélioration,1,1,2015,3,7,1,0,5,Majeur
Tâche,3,2,2015,2,7,1,0,56,Majeur
Amélioration,3,1,2015,1,6,2,0,83,Majeur
Bug,5,3,2015,5,6,1,0,31,Majeur
Bug,2,1,2015,4,6,1,0,2,Majeur
Bug,3,2,2015,3,6,1,0,52,Majeur
Amélioration,3,2,2015,3,6,1,0,59,Majeur
Tâche,3,2,2015,3,6,1,0,58,Majeur
Tâche,3,2,2015,3,6,1,0,51,Majeur
Amélioration,1,1,2015,2,6,1,0,7,Majeur
Amélioration,3,2,2015,2,6,1,0,58,Majeur
Amélioration,1,2,2015,2,6,1,0,16,Majeur
Amélioration,3,2,2015,2,6,1,0,53,Majeur
Bug,3,1,2015,2,6,2,0,84,Majeur
Bug,3,2,2015,2,6,1,0,58,Majeur
Amélioration,1,1,2015,2,6,1,0,27,Majeur
Bug,3,2,2015,2,6,1,0,56,Majeur
Amélioration,2,2,2015,1,6,2,0,93,Majeur
Amélioration,2,2,2015,1,6,1,0,17,Majeur
Amélioration,1,2,2015,1,6,1,0,71,Majeur
Bug,3,2,2015,1,6,1,0,51,Majeur
Nouvelle fonctionnalité,3,2,2015,1,6,1,0,53,Majeur
Nouvelle fonctionnalité,3,2,2015,1,6,1,0,51,Majeur
Bug,3,2,2015,1,6,1,0,58,Majeur
Bug,3,2,2015,1,6,0,0,50,Majeur
Tâche,3,2,2015,0,6,1,0,50,Majeur
Bug,3,2,2015,0,6,1,0,53,Majeur
Bug,3,2,2015,6,6,1,0,50,Majeur
Amélioration,3,2,2015,4,6,1,0,50,Majeur
Amélioration,3,2,2015,4,6,1,0,53,Majeur
Bug,3,2,2015,4,6,1,0,55,Majeur
Tâche,5,3,2015,3,6,1,0,33,Majeur
Bug,3,2,2015,3,6,1,0,53,Majeur
Bug,3,2,2015,3,6,1,0,57,Majeur
Bug,3,2,2015,3,6,1,0,55,Majeur
Tâche,3,2,2015,3,6,1,0,53,Majeur
Tâche,3,2,2015,3,6,1,0,50,Majeur
Nouvelle fonctionnalité,3,2,2015,3,6,1,0,59,Majeur
Bug,3,2,2015,2,6,1,0,55,Majeur
Bug,5,3,2015,2,6,1,0,38,Majeur
Tâche,3,2,2015,2,6,1,0,54,Majeur
Bug,3,2,2015,2,6,1,0,58,Majeur
Amélioration,3,2,2015,2,6,1,0,58,Majeur
Amélioration,3,2,2015,1,6,1,0,58,Majeur
Bug,3,2,2015,1,6,1,0,56,Majeur
Amélioration,3,2,2015,1,6,1,0,59,Majeur
Amélioration,3,2,2015,0,6,1,0,55,Majeur
Amélioration,3,2,2015,0,6,1,0,58,Majeur
Bug,3,2,2015,0,6,1,0,52,Majeur
Tâche,3,2,2015,4,6,2,0,52,Majeur
Tâche,5,2,2015,4,6,2,0,97,Majeur
Tâche,3,1,2015,4,6,2,0,81,Majeur
Bug,3,2,2015,4,6,1,0,53,Majeur
Tâche,3,2,2015,3,6,1,0,58,Majeur
Bug,2,1,2015,3,6,1,0,4,Majeur
Bug,3,2,2015,3,6,1,0,57,Majeur
Bug,3,2,2015,3,6,1,0,52,Majeur
Tâche,5,3,2015,1,6,1,0,30,Majeur
Tâche,3,2,2015,1,6,1,0,58,Majeur
Tâche,3,2,2015,1,6,1,0,52,Majeur
Tâche,3,2,2015,1,6,1,0,55,Majeur
Nouvelle fonctionnalité,3,2,2015,1,6,1,0,50,Majeur
Tâche,3,2,2015,1,6,1,0,57,Majeur
Nouvelle fonctionnalité,3,2,2015,0,6,1,0,52,Majeur
Tâche,3,2,2015,2,5,1,0,59,Majeur
Amélioration,1,1,2015,1,5,1,0,23,Majeur
Tâche,3,2,2015,0,5,1,0,52,Majeur
Amélioration,1,2,2015,0,5,1,0,100,Majeur
Tâche,3,2,2015,3,5,1,0,52,Majeur
Amélioration,1,1,2015,1,4,1,0,11,Majeur
Amélioration,1,2,2015,1,4,1,0,59,Majeur
Bug,3,2,2015,1,4,1,0,55,Majeur
Amélioration,1,1,2015,2,4,1,0,20,Majeur
Tâche,3,2,2015,2,4,1,0,59,Majeur
Tâche,3,2,2015,0,3,1,0,57,Majeur
Tâche,3,2,2015,0,3,1,0,59,Majeur
Tâche,3,2,2015,0,3,1,0,57,Majeur
Amélioration,1,2,2015,0,3,1,0,100,Majeur
Amélioration,3,2,2015,4,3,0,0,50,Majeur
Amélioration,3,2,2015,4,3,1,0,55,Majeur
Tâche,3,2,2015,4,3,1,0,58,Majeur
Tâche,3,2,2015,4,3,1,0,57,Majeur
Tâche,3,2,2015,4,3,1,0,54,Majeur
Tâche,3,2,2015,4,3,1,0,56,Majeur
Tâche,3,2,2015,4,3,1,0,54,Majeur
Tâche,3,2,2015,4,3,1,0,55,Majeur
Tâche,3,2,2015,3,3,1,0,58,Majeur
Tâche,2,1,2015,3,3,1,0,11,Majeur
Tâche,3,2,2015,3,3,1,0,54,Majeur
Tâche,3,2,2015,3,3,0,0,56,Majeur
Tâche,3,2,2015,3,3,1,0,53,Majeur
Tâche,3,2,2015,3,3,1,0,59,Majeur
Tâche,3,2,2015,3,3,1,0,50,Majeur
Tâche,3,2,2015,3,3,1,0,51,Majeur
Tâche,3,2,2015,3,3,1,0,50,Majeur
Tâche,3,2,2015,3,3,1,0,54,Majeur
Nouvelle fonctionnalité,3,2,2015,2,3,1,0,51,Majeur
Tâche,3,2,2015,1,3,1,0,54,Majeur
Tâche,3,2,2015,1,3,1,0,50,Majeur
Amélioration,3,2,2015,1,3,1,0,53,Majeur
Amélioration,3,2,2015,1,3,1,0,56,Majeur
Amélioration,3,2,2015,1,3,1,0,54,Majeur
Tâche,2,2,2015,5,3,1,0,75,Majeur
Bug,3,2,2015,4,3,1,0,50,Majeur
Bug,3,2,2015,4,3,1,0,58,Majeur
Amélioration,1,1,2015,4,3,1,0,29,Majeur
Tâche,3,2,2015,4,3,1,0,53,Majeur
Tâche,3,2,2015,4,3,1,0,54,Majeur
Tâche,3,2,2015,4,3,1,0,56,Majeur
Tâche,3,2,2015,4,3,1,0,52,Majeur
Tâche,3,2,2015,4,3,1,0,50,Majeur
Tâche,3,2,2015,4,3,1,0,58,Majeur
Tâche,3,2,2015,4,3,1,0,59,Majeur
Bug,3,2,2015,4,3,0,0,51,Majeur
Amélioration,1,1,2015,1,3,1,0,17,Majeur
Amélioration,1,1,2015,2,3,1,0,28,Majeur
Tâche,4,3,2015,1,2,1,0,23,Majeur
Tâche,3,2,2015,3,2,1,0,50,Majeur
Tâche,2,1,2015,3,1,1,0,21,Majeur
Amélioration,1,1,2015,1,2,1,0,19,Majeur
Amélioration,3,2,2015,1,2,1,0,59,Majeur
Bug,5,3,2015,3,2,1,0,30,Majeur
Amélioration,1,2,2015,4,1,1,0,114,Majeur
Amélioration,1,2,2015,0,1,1,0,24,Majeur
Amélioration,1,1,2015,3,1,1,0,21,Majeur
Amélioration,1,1,2015,3,1,1,0,23,Majeur
Amélioration,1,2,2015,3,1,1,0,115,Majeur
Amélioration,1,1,2015,3,1,1,0,17,Majeur
Amélioration,3,2,2015,0,1,1,0,52,Majeur
Amélioration,1,2,2014,6,12,1,0,13,Majeur
Bug,3,2,2014,4,12,1,0,59,Majeur
Amélioration,1,1,2014,2,12,1,0,9,Majeur
Tâche,3,2,2014,4,12,1,0,55,Majeur
Bug,4,3,2014,4,12,1,0,21,Majeur
Amélioration,1,2,2014,2,12,1,0,67,Majeur
Amélioration,1,1,2014,1,12,1,0,21,Majeur
Bug,3,2,2014,1,12,1,0,54,Majeur
Bug,3,2,2014,1,12,0,0,55,Majeur
Bug,3,2,2014,1,12,1,0,51,Majeur
Amélioration,1,1,2014,0,12,1,0,16,Majeur
Tâche,3,2,2014,4,11,1,0,52,Majeur
Tâche,3,2,2014,4,11,1,0,57,Majeur
Tâche,3,2,2014,2,11,1,0,57,Majeur
Amélioration,1,2,2014,0,11,1,0,16,Majeur
Amélioration,1,1,2014,5,11,1,0,6,Majeur
Bug,3,2,2014,4,10,1,0,56,Majeur
Amélioration,1,2,2014,4,10,1,0,62,Majeur
Amélioration,1,1,2014,1,10,1,0,12,Majeur
Amélioration,1,2,2014,0,10,1,0,48,Majeur
Amélioration,1,1,2014,3,10,1,0,23,Majeur
Amélioration,1,1,2014,3,10,1,0,7,Majeur
Amélioration,1,2,2014,1,9,1,0,119,Majeur
Amélioration,1,2,2014,6,9,1,0,86,Majeur
Amélioration,1,1,2014,4,9,1,0,14,Majeur
Amélioration,1,1,2014,3,9,1,0,12,Majeur
Amélioration,1,1,2014,3,9,1,0,25,Majeur
Amélioration,1,1,2014,2,9,1,0,9,Majeur
Amélioration,1,2,2014,0,9,1,0,105,Majeur
Amélioration,1,1,2014,3,8,1,0,6,Majeur
Tâche,3,2,2014,1,8,1,0,50,Majeur
Amélioration,1,1,2014,1,8,1,0,21,Majeur
Nouvelle fonctionnalité,3,2,2014,3,7,1,0,56,Majeur
Tâche,3,2,2014,1,7,0,0,54,Majeur
Amélioration,1,2,2014,1,7,1,0,62,Majeur
Amélioration,1,2,2014,4,7,1,0,89,Majeur
Amélioration,1,2,2014,2,7,1,0,26,Majeur
Amélioration,1,2,2014,5,7,1,0,13,Majeur
Amélioration,1,1,2014,4,7,1,0,12,Majeur
Amélioration,1,1,2014,4,7,1,0,13,Majeur
Amélioration,1,2,2014,3,7,1,0,119,Majeur
Amélioration,1,2,2014,2,7,1,0,46,Majeur
Bug,3,2,2014,1,7,1,0,58,Majeur
Amélioration,1,2,2014,1,6,1,0,14,Majeur
Amélioration,1,2,2014,1,6,1,0,26,Majeur
Bug,3,2,2014,1,6,0,0,54,Majeur
Amélioration,1,1,2014,0,6,1,0,6,Majeur
Bug,3,2,2014,1,6,1,0,58,Majeur
Amélioration,2,2,2014,4,5,1,0,74,Majeur
Bug,2,1,2014,4,5,0,0,4,Majeur
Amélioration,1,1,2014,4,5,1,0,29,Majeur
Bug,4,3,2014,5,5,1,0,24,Majeur
Amélioration,1,1,2014,4,5,1,0,2,Majeur
Amélioration,2,2,2014,3,5,0,0,41,Majeur
Bug,3,2,2014,3,5,1,0,53,Majeur
Amélioration,1,2,2014,2,5,1,0,82,Majeur
Amélioration,1,1,2014,2,4,1,0,9,Majeur
Amélioration,1,2,2014,2,4,1,0,70,Majeur
Amélioration,1,2,2014,1,4,1,0,93,Majeur
Amélioration,1,1,2014,3,4,1,0,23,Majeur
Amélioration,1,2,2014,1,3,1,0,52,Majeur
Amélioration,1,2,2014,3,3,1,0,33,Majeur
Bug,3,2,2014,1,3,1,0,59,Majeur
Amélioration,3,2,2014,1,3,1,0,53,Majeur
Tâche,3,2,2014,0,3,1,0,50,Majeur
Amélioration,1,1,2014,4,3,1,0,21,Majeur
Amélioration,1,2,2014,1,3,1,0,8,Majeur
Bug,3,2,2014,0,3,1,0,54,Majeur
Amélioration,1,1,2014,0,3,1,0,17,Majeur
Amélioration,1,2,2014,3,3,1,0,18,Majeur
Amélioration,1,2,2014,1,3,1,0,77,Majeur
Amélioration,1,1,2014,1,3,1,0,28,Majeur
Amélioration,1,2,2014,3,2,1,0,78,Majeur
Amélioration,1,1,2014,3,2,1,0,2,Majeur
Amélioration,3,2,2014,0,2,1,0,54,Majeur
Nouvelle fonctionnalité,3,2,2014,0,2,1,0,57,Majeur
Amélioration,3,2,2014,0,2,1,0,53,Majeur
Bug,3,2,2014,0,2,1,0,59,Majeur
Amélioration,2,1,2014,3,2,1,0,17,Majeur
Amélioration,1,2,2014,0,2,1,0,30,Majeur
Amélioration,1,2,2014,4,2,1,0,74,Majeur
Amélioration,3,2,2014,3,2,0,0,53,Majeur
Amélioration,1,1,2014,3,2,1,0,27,Majeur
Amélioration,1,2,2014,0,2,1,0,82,Majeur
Amélioration,1,2,2014,6,2,1,0,69,Majeur
Amélioration,3,2,2014,3,1,0,0,54,Majeur
Amélioration,1,1,2014,3,1,1,0,4,Majeur
Amélioration,3,2,2014,2,1,0,0,56,Majeur
Amélioration,3,2,2014,2,1,1,0,50,Majeur
Amélioration,3,2,2014,1,1,1,0,56,Majeur
Amélioration,3,2,2014,0,1,0,0,56,Majeur
Bug,3,2,2014,0,1,1,0,58,Majeur
Amélioration,2,1,2014,4,1,1,0,4,Majeur
Amélioration,3,2,2014,4,1,1,0,53,Majeur
Amélioration,1,2,2014,2,1,1,0,73,Majeur
Amélioration,1,1,2014,2,1,1,0,10,Majeur
Amélioration,1,2,2014,1,1,1,0,91,Majeur
Amélioration,1,2,2014,0,1,1,0,48,Majeur
Bug,2,2,2014,0,1,0,0,70,Majeur
Tâche,3,2,2014,0,1,0,0,55,Majeur
Tâche,3,2,2014,0,1,1,0,50,Majeur
Amélioration,1,2,2014,6,1,1,0,117,Majeur
Amélioration,1,2,2014,3,1,1,0,29,Majeur
Tâche,3,2,2014,1,1,0,0,52,Majeur
Amélioration,3,2,2014,1,1,1,0,52,Majeur
Amélioration,1,1,2014,1,1,1,0,6,Majeur
Amélioration,1,1,2014,2,1,1,0,14,Majeur
Amélioration,1,2,2014,2,1,1,0,49,Majeur
Amélioration,2,2,2014,2,1,0,0,109,Majeur
Amélioration,1,2,2013,0,12,1,0,117,Majeur
Amélioration,1,1,2013,6,12,1,0,21,Majeur
Amélioration,1,1,2013,6,12,1,0,24,Majeur
Amélioration,1,2,2013,5,12,1,0,26,Majeur
Amélioration,1,2,2013,4,12,1,0,45,Majeur
Amélioration,1,1,2013,3,12,1,0,15,Majeur
Amélioration,1,2,2013,3,12,1,0,58,Majeur
Amélioration,3,2,2013,1,12,0,0,51,Majeur
Bug,3,2,2013,1,12,0,0,53,Majeur
Amélioration,1,2,2013,1,12,1,0,21,Majeur
Amélioration,3,2,2013,0,12,1,0,50,Majeur
Amélioration,3,2,2013,0,12,1,0,59,Majeur
Amélioration,2,1,2013,0,12,1,0,28,Majeur
Amélioration,1,1,2013,6,12,1,0,23,Majeur
Amélioration,1,1,2013,3,12,1,0,6,Majeur
Amélioration,3,2,2013,3,12,1,0,56,Majeur
Amélioration,1,1,2013,3,12,1,0,21,Majeur
Amélioration,1,2,2013,2,12,1,0,87,Majeur
Amélioration,3,2,2013,2,12,1,0,53,Majeur
Amélioration,3,2,2013,2,12,1,0,55,Majeur
Amélioration,1,1,2013,0,12,1,0,23,Majeur
Tâche,3,2,2013,0,12,1,0,50,Majeur
